OM_CATEGORY_LABEL,FSQ_BEST_LABEL,FSQ_BEST_ID,FSQ_BEST_PRIMARY,FSQ_BEST_SECONDARY,BEST_SCORE,FSQ_ALT1_LABEL,ALT1_ID,ALT1_SCORE,FSQ_ALT2_LABEL,ALT2_ID,ALT2_SCORE,NEEDS_REVIEW
forklift_dealer,Retail > Automotive Retail > Motorcycle Dealership,17012,Retail , Automotive Retail ,54.8,Retail > Automotive Retail > Motor Scooter Dealership,17141,50.3,Retail > Automotive Retail > Car Dealership,17006,50.3,TRUE
car_buyer,Travel and Transportation > Cable Car,19065,Travel and Transportation , Cable Car,56.6,Retail > Automotive Retail > Car Dealership,17006,54.4,Retail > Automotive Retail > Car Parts and Accessories,17011,53.3,TRUE
b2b_truck_equipment_parts_and_accessories,Retail > Automotive Retail > Car Parts and Accessories,17011,Retail , Automotive Retail ,78.5,Retail > Fashion Retail > Fashion Accessories Store,17044,59.4,Business and Professional Services > Equipment Rental Service,11037,57.2,TRUE
motorcycle_rentals,Retail > Automotive Retail > Motorcycle Dealership,17012,Retail , Automotive Retail ,77.8,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,11012,75.9,Retail > Automotive Retail,17005,59.2,TRUE
car_dealer,Retail > Automotive Retail > Car Dealership,17006,Retail , Automotive Retail ,77.5,Retail > Automotive Retail > Car Dealership > New Car Dealership,17008,74.0,Retail > Automotive Retail > Car Dealership > Used Car Dealership,17010,73.4,TRUE
truck_rentals,Retail,17000,Retail,,64.9,Travel and Transportation > Truck Stop,19057,62.6,Dining and Drinking > Food Truck,13054,60.0,TRUE
recreation_vehicle_repair,Sports and Recreation > Recreation Center,18048,Sports and Recreation , Recreation Center,68.4,Sports and Recreation,18000,64.5,Business and Professional Services > Repair Service,11157,59.6,TRUE
mobile_home_dealer,Retail > Computers and Electronics Retail > Mobile Phone Store,17026,Retail , Computers and Electronics Retail ,60.7,Retail > Automotive Retail > Moped Dealership,17140,59.8,Business and Professional Services > Mobile Company,11123,59.4,TRUE
automotive_wheel_polishing_service,Business and Professional Services > Automotive Service,11009,Business and Professional Services , Automotive Service,78.4,Business and Professional Services > Automotive Service > Towing Service,11016,73.5,Retail > Automotive Retail,17005,72.5,TRUE
exhaust_and_muffler_repair,Business and Professional Services > Repair Service,11157,Business and Professional Services , Repair Service,55.9,Business and Professional Services > Automotive Service > Tire Repair Shop,11015,54.6,Retail > Computers and Electronics Retail,17023,54.1,TRUE
