category_label,category_primary
puerto_rican_restaurant,Food & Dining
restaurant,Food & Dining
restaurant_equipment_and_supply,Business-to-Business
restaurant_management,Professional Services
restaurant_wholesale,Food & Dining
romanian_restaurant,Food & Dining
russian_restaurant,Food & Dining
sake_bar,Food & Dining
salad_bar,Food & Dining
salvadoran_restaurant,Food & Dining
sandwich_shop,Food & Dining
scandinavian_restaurant,Food & Dining
scottish_restaurant,Food & Dining
seafood_market,Food & Dining
seafood_restaurant,Food & Dining
seafood_wholesaler,Food & Dining
senegalese_restaurant,Food & Dining
serbo_croatian_restaurant,Food & Dining
shaved_ice_shop,Food & Dining
singaporean_restaurant,Food & Dining
slovakian_restaurant,Food & Dining
smoothie_juice_bar,Food & Dining
soul_food,Food & Dining
soup_restaurant,Food & Dining
south_african_restaurant,Food & Dining
southern_restaurant,Food & Dining
spanish_restaurant,Food & Dining
speakeasy,Food & Dining
specialty_foods,Food & Dining
sports_bar,Food & Dining
sri_lankan_restaurant,Food & Dining
steakhouse,Food & Dining
sushi_restaurant,Food & Dining
swiss_restaurant,Food & Dining
syrian_restaurant,Food & Dining
taco_restaurant,Food & Dining
taiwanese_restaurant,Food & Dining
tapas_bar,Food & Dining
tea_room,Food & Dining
texmex_restaurant,Food & Dining
thai_restaurant,Food & Dining
theme_restaurant,Food & Dining
tiki_bar,Food & Dining
topic_publisher,Food & Dining
trinidadian_restaurant,Food & Dining
turkish_restaurant,Food & Dining
ukrainian_restaurant,Food & Dining
uruguayan_restaurant,Food & Dining
uzbek_restaurant,Food & Dining
vegan_restaurant,Food & Dining
vegetarian_restaurant,Food & Dining
venezuelan_restaurant,Food & Dining
vermouth_bar,Food & Dining
vietnamese_restaurant,Food & Dining
waffle_restaurant,Food & Dining
whiskey_bar,Food & Dining
wine_bar,Food & Dining
winery,Food & Dining
wok_restaurant,Food & Dining
wrap_restaurant,Food & Dining
notary_public,Government & Public Services
airline_ticket_agency,Government & Public Services
armed_forces_branch,Government & Public Services
bus_ticket_agency,Government & Public Services
central_government_office,Government & Public Services
certification_agency,Government & Public Services
civic_center,Government & Public Services
department_of_social_service,Government & Public Services
embassy,Government & Public Services
emergency_service,Government & Public Services
estate_liquidation,Government & Public Services
federal_government_offices,Government & Public Services
fire_department,Government & Public Services
freight_forwarding_agency,Government & Public Services
government_services,Government & Public Services
jail_and_prison,Government & Public Services
juvenile_detention_center,Government & Public Services
local_and_state_government_offices,Government & Public Services
media_agency,Government & Public Services
national_security_services,Government & Public Services
non_governmental_association,Government & Public Services
office_of_vital_records,Government & Public Services
passport_and_visa_services,Government & Public Services
police_department,Government & Public Services
post_office,Government & Public Services
sightseeing_tour_agency,Government & Public Services
social_media_agency,Government & Public Services
social_security_services,Government & Public Services
social_welfare_center,Government & Public Services
state_park,Parks & Natural Features
talent_agency,Professional Services
town_hall,Government & Public Services
immigration_and_naturalization,Government & Public Services
undersea_hyperbaric_medicine,Healthcare & Medical
abortion_clinic,Healthcare & Medical
acne_treatment,Healthcare & Medical
acupuncture,Healthcare & Medical
addiction_rehabilitation_center,Healthcare & Medical
allergist,Healthcare & Medical
alternative_medicine,Healthcare & Medical
anesthesiologist,Healthcare & Medical
animal_assisted_therapy,Healthcare & Medical
animal_physical_therapy,Healthcare & Medical
aromatherapy,Healthcare & Medical
audiologist,Healthcare & Medical
ayurveda,Healthcare & Medical
b2b_medical_support_services,Healthcare & Medical
cannabis_clinic,Healthcare & Medical
cardiologist,Healthcare & Medical
cardiovascular_and_thoracic_surgeon,Healthcare & Medical
child_psychiatrist,Healthcare & Medical
childrens_hospital,Healthcare & Medical
chiropractor,Healthcare & Medical
clinical_laboratories,Healthcare & Medical
community_health_center,Healthcare & Medical
concierge_medicine,Healthcare & Medical
cosmetic_dentist,Healthcare & Medical
cosmetic_surgeon,Healthcare & Medical
counseling_and_mental_health,Healthcare & Medical
cryotherapy,Healthcare & Medical
dental_hygienist,Healthcare & Medical
dental_laboratories,Healthcare & Medical
dental_supply_store,Healthcare & Medical
dentist,Healthcare & Medical
dentistry_schools,Healthcare & Medical
dermatologist,Healthcare & Medical
dialysis_clinic,Healthcare & Medical
doctor,Healthcare & Medical
doula,Healthcare & Medical
emergency_medicine,Healthcare & Medical
emergency_pet_hospital,Pet Services
emergency_room,Healthcare & Medical
endocrinologist,Healthcare & Medical
