OM_CATEGORY_LABEL,OM_SIMPLIFIED_CATEGORY,OM_UPDATED_CATEGORY,FSQ_CATEGORY_ID,FSQ_CATEGORY_LABEL,FSQ_CATEGORY_PRIMARY,FSQ_CATEGORY_SECONDARY,MATCH_SCORE,MATCHED_TEXT,ALTERNATES
qi_gong_studio,Arts & Entertainment,Beauty & Wellness,11005,Business and Professional Services > Art Studio,Business and Professional Services , Art Studio,85.5,business and professional services art studio,Business and Professional Services > Art Studio (ID 11005) [85.5]; Business and Professional Services > Design Studio (ID 11030) [85.5]; Business and Professional Services > Film Studio (ID 11041) [85.5]; Business and Professional Services > Photography Service > Photography Studio (ID 11140) [85.5]; Business and Professional Services > Recording Studio (ID 11152) [85.5]
tai_chi_studio,Arts & Entertainment,Beauty & Wellness,11005,Business and Professional Services > Art Studio,Business and Professional Services , Art Studio,85.5,business and professional services art studio,Business and Professional Services > Art Studio (ID 11005) [85.5]; Business and Professional Services > Design Studio (ID 11030) [85.5]; Business and Professional Services > Film Studio (ID 11041) [85.5]; Business and Professional Services > Photography Service > Photography Studio (ID 11140) [85.5]; Business and Professional Services > Recording Studio (ID 11152) [85.5]
music_production_services,Arts & Entertainment,Arts & Entertainment,10039,Arts and Entertainment > Performing Arts Venue > Music Venue,Arts and Entertainment , Performing Arts Venue ,85.5,arts and entertainment performing arts venue music venue,Arts and Entertainment > Performing Arts Venue > Music Venue (ID 10039) [85.5]; Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue (ID 10040) [85.5]; Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club (ID 10041) [85.5]; Business and Professional Services > Advertising Agency (ID 11001) [85.5]; Business and Professional Services > Agriculture and Forestry Service (ID 11002) [85.5]
theatrical_productions,Arts & Entertainment,Arts & Entertainment,10043,Arts and Entertainment > Performing Arts Venue > Theater,Arts and Entertainment , Performing Arts Venue ,83.07692307692308,theater,Arts and Entertainment > Performing Arts Venue > Theater (ID 10043) [83.07692307692308]; Community and Government > Education (ID 12009) [74.11764705882352]; Landmarks and Outdoors > States and Municipalities > Town (ID 16067) [67.5]; Travel and Transportation > Road (ID 19060) [67.5]; Landmarks and Outdoors > Canal (ID 16009) [64.125]
outdoor_movies,Arts & Entertainment,Arts & Entertainment,10069,Arts and Entertainment > Public Art > Outdoor Sculpture,Arts and Entertainment , Public Art ,85.5,arts and entertainment public art outdoor sculpture,"Arts and Entertainment > Public Art > Outdoor Sculpture (ID 10069) [85.5]; Business and Professional Services > Outdoor Event Space (ID 11131) [85.5]; Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service (ID 11189) [85.5]; Retail > Outdoor Supply Store (ID 17103) [85.5]; Sports and Recreation > Gym and Studio > Outdoor Gym (ID 18026) [85.5]"
music_production,Arts & Entertainment,Arts & Entertainment,10039,Arts and Entertainment > Performing Arts Venue > Music Venue,Arts and Entertainment , Performing Arts Venue ,85.5,arts and entertainment performing arts venue music venue,Arts and Entertainment > Performing Arts Venue > Music Venue (ID 10039) [85.5]; Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue (ID 10040) [85.5]; Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club (ID 10041) [85.5]; Community and Government > Education > Music School (ID 12054) [85.5]; Event > Entertainment Event > Music Festival (ID 14005) [85.5]
magician,Arts & Entertainment,Arts & Entertainment,13120,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Macanese Restaurant,Dining and Drinking , Restaurant ,69.23076923076923,macanese restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Macanese Restaurant (ID 13120) [69.23076923076923]; Health and Medicine > Physician (ID 15027) [69.23076923076923]; Health and Medicine > Physician > Pediatrician (ID 15045) [69.23076923076923]; Dining and Drinking > Restaurant > Italian Restaurant > Malga (ID 13247) [67.5]; Dining and Drinking > Restaurant > Greek Restaurant > Magirio (ID 13183) [66.66666666666667]
art_tours,Arts & Entertainment,Arts & Entertainment,10004,Arts and Entertainment > Art Gallery,Arts and Entertainment , Art Gallery,85.5,arts and entertainment art gallery,Arts and Entertainment > Art Gallery (ID 10004) [85.5]; Arts and Entertainment > Museum > Art Museum (ID 10028) [85.5]; Arts and Entertainment > Public Art (ID 10047) [85.5]; Arts and Entertainment > Public Art > Street Art (ID 10059) [85.5]; Arts and Entertainment > Public Art > Outdoor Sculpture (ID 10069) [85.5]
cinema,Arts & Entertainment,Arts & Entertainment,11193,Business and Professional Services > Search Engine Marketing and Optimization Service,Business and Professional Services , Search Engine Marketing and Optimization Service,75.00000000000001,search engine marketing and optimization service,Business and Professional Services > Search Engine Marketing and Optimization Service (ID 11193) [75.00000000000001]; Health and Medicine > Acupuncture Clinic (ID 15001) [75.00000000000001]; Health and Medicine > AIDS Resource (ID 15002) [75.00000000000001]; Health and Medicine > Alternative Medicine Clinic (ID 15003) [75.00000000000001]; Health and Medicine > Assisted Living Service (ID 15004) [75.00000000000001]
movie_television_studio,Arts & Entertainment,Arts & Entertainment,10024,Arts and Entertainment > Movie Theater,Arts and Entertainment , Movie Theater,85.5,arts and entertainment movie theater,Arts and Entertainment > Movie Theater (ID 10024) [85.5]; Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]; Arts and Entertainment > Movie Theater > Indie Movie Theater (ID 10026) [85.5]; Business and Professional Services > Art Studio (ID 11005) [85.5]; Business and Professional Services > Design Studio (ID 11030) [85.5]
