OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary
hair_replacement,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
boxing_gym,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
makeup_artist,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
aesthetician,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
permanent_makeup,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
electronic_parts_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
b2b_scientific_equipment,Business-to-Business,Business-to-Business,Business and Professional Services
propane_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
corporate_gift_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
fastener_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
b2b_furniture_and_housewares,Business-to-Business,Business-to-Business,Business and Professional Services
bearing_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
vending_machine_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
granite_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
cement_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
ice_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
b2b_hardware,Business-to-Business,Business-to-Business,Business and Professional Services
scale_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
pipe_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
aluminum_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
stone_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
awning_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
beverage_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
beauty_product_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
b2b_science_and_technology,Business-to-Business,Business-to-Business,Business and Professional Services
abrasives_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
natural_gas_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
b2b_dairies,Business-to-Business,Business-to-Business,Business and Professional Services
tableware_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
box_lunch_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
water_softening_equipment_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
b2b_jewelers,Business-to-Business,Business-to-Business,Business and Professional Services
sand_and_gravel_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
b2b_machinery_and_tools,Business-to-Business,Business-to-Business,Business and Professional Services
thread_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
retaining_wall_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
hydraulic_equipment_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
b2b_electronic_equipment,Business-to-Business,Business-to-Business,Business and Professional Services
laboratory_equipment_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
window_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
aggregate_supplier,Business-to-Business,Business-to-Business,Business and Professional Services
suicide_prevention_services,Community & Social Services,Community & Social Services,Community and Government
elder_care_planning,Community & Social Services,Community & Social Services,Community and Government
community_center,Community & Social Services,Community & Social Services,Community and Government
home_organization,Community & Social Services,Community & Social Services,Community and Government
donation_center,Community & Social Services,Community & Social Services,Community and Government
charity_organization,Community & Social Services,Community & Social Services,Community and Government
foster_care_services,Community & Social Services,Community & Social Services,Community and Government
organization,Community & Social Services,Community & Social Services,Community and Government
crisis_intervention_services,Community & Social Services,Community & Social Services,Community and Government
fraternal_organization,Community & Social Services,Community & Social Services,Community and Government
volunteer_association,Community & Social Services,Community & Social Services,Community and Government
homeowner_association,Community & Social Services,Community & Social Services,Community and Government
career_counseling,Community & Social Services,Community & Social Services,Community and Government
senior_citizen_services,Community & Social Services,Community & Social Services,Community and Government
welders,Community & Social Services,Community & Social Services,Community and Government
domestic_business_and_trade_organizations,Community & Social Services,Community & Social Services,Community and Government
blood_and_plasma_donation_center,Community & Social Services,Community & Social Services,Community and Government
labor_union,Community & Social Services,Community & Social Services,Community and Government
political_organization,Community & Social Services,Community & Social Services,Community and Government
youth_organizations,Community & Social Services,Community & Social Services,Community and Government
social_service_organizations,Community & Social Services,Community & Social Services,Community and Government
community_services_non_profits,Community & Social Services,Community & Social Services,Community and Government
private_association,Community & Social Services,Community & Social Services,Community and Government
gay_and_lesbian_services_organization,Community & Social Services,Community & Social Services,Community and Government
veterans_organization,Community & Social Services,Community & Social Services,Community and Government
packaging_contractors_and_service,Construction & Contractors,Construction & Contractors,Business and Professional Services
contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services
kitchen_remodeling,Construction & Contractors,Construction & Contractors,Business and Professional Services
painting,Construction & Contractors,Construction & Contractors,Business and Professional Services
plumbing,Construction & Contractors,Construction & Contractors,Business and Professional Services
roofing,Construction & Contractors,Construction & Contractors,Business and Professional Services
closet_remodeling,Construction & Contractors,Construction & Contractors,Business and Professional Services
construction_services,Construction & Contractors,Construction & Contractors,Business and Professional Services
demolition_service,Construction & Contractors,Construction & Contractors,Business and Professional Services
carpenter,Construction & Contractors,Construction & Contractors,Business and Professional Services
excavation_service,Construction & Contractors,Construction & Contractors,Business and Professional Services
tiling,Construction & Contractors,Construction & Contractors,Business and Professional Services
road_contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services
logging_contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services
well_drilling,Construction & Contractors,Construction & Contractors,Business and Professional Services
stone_and_masonry,Construction & Contractors,Construction & Contractors,Business and Professional Services
boat_builder,Construction & Contractors,Construction & Contractors,Business and Professional Services
paving_contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services
masonry_contractors,Construction & Contractors,Construction & Contractors,Business and Professional Services
